n_eval,t_A,t_B,t_C,t_2,t_upper,N_AB,N_ABC,r,loglik,time
0,0.006,0.006,0.008,0.002,0.005605550845327562,0.004,0.004,0.5,-76239912.58009267,601.5861465930939
1,0.00600001,0.006,0.008,0.002,0.005605550845327562,0.004,0.004,0.5,-76239912.766458,1188.4183073043823
2,0.006,0.00600001,0.008,0.002,0.005605550845327562,0.004,0.004,0.5,-76239912.75794153,1817.6541435718536
3,0.006,0.006,0.00800001,0.002,0.005605550845327562,0.004,0.004,0.5,-76239912.7508919,2413.238379716873
4,0.006,0.006,0.008,0.00200001,0.005605550845327562,0.004,0.004,0.5,-76239912.80397765,3041.3774847984314
5,0.006,0.006,0.008,0.002,0.005605560845327562,0.004,0.004,0.5,-76239912.81397682,3623.763234615326
6,0.006,0.006,0.008,0.002,0.005605550845327562,0.00400001,0.004,0.5,-76239912.62173067,4253.161541938782
7,0.006,0.006,0.008,0.002,0.005605550845327562,0.004,0.00400001,0.5,-76239913.12035722,4849.211669206619
8,0.006,0.006,0.008,0.002,0.005605550845327562,0.004,0.004,0.50000001,-76239912.5802397,5443.525510072708
9,0.0006000000000000001,0.0006000000000000001,0.0008,0.0002,0.0005605550845327562,0.0004,0.0004,0.05,-78270267.18955916,5981.27082490921
10,0.0006000100000000001,0.0006000000000000001,0.0008,0.0002,0.0005605550845327562,0.0004,0.0004,0.05,-78270264.8486183,6582.182450532913
11,0.0006000000000000001,0.0006000100000000001,0.0008,0.0002,0.0005605550845327562,0.0004,0.0004,0.05,-78270264.7893287,7180.953867435455
12,0.0006000000000000001,0.0006000000000000001,0.0008000100000000001,0.0002,0.0005605550845327562,0.0004,0.0004,0.05,-78270263.66257147,7779.152781248093
13,0.0006000000000000001,0.0006000000000000001,0.0008,0.00020001,0.0005605550845327562,0.0004,0.0004,0.05,-78270262.55814457,8384.410682678223
14,0.0006000000000000001,0.0006000000000000001,0.0008,0.0002,0.0005605650845327563,0.0004,0.0004,0.05,-78270259.84039052,8973.22845363617
15,0.0006000000000000001,0.0006000000000000001,0.0008,0.0002,0.0005605550845327562,0.00040001,0.0004,0.05,-78270267.1574031,9571.647648096085
16,0.0006000000000000001,0.0006000000000000001,0.0008,0.0002,0.0005605550845327562,0.0004,0.00040001,0.05,-78270251.5143833,10191.82989525795
17,0.0006000000000000001,0.0006000000000000001,0.0008,0.0002,0.0005605550845327562,0.0004,0.0004,0.050000010000000004,-78270267.18865557,10805.840901136398
18,0.004209358028928557,0.004209358028928557,0.005612477371904743,0.0014031193429761858,0.003932628409557806,0.0028062386859523717,0.0028062386859523717,0.3507798357440464,-76120955.4145162,11414.837260484695
19,0.004209368028928557,0.004209358028928557,0.005612477371904743,0.0014031193429761858,0.003932628409557806,0.0028062386859523717,0.0028062386859523717,0.3507798357440464,-76120955.44861032,12017.592220306396
20,0.004209358028928557,0.004209368028928557,0.005612477371904743,0.0014031193429761858,0.003932628409557806,0.0028062386859523717,0.0028062386859523717,0.3507798357440464,-76120955.43679751,12600.212474822998
21,0.004209358028928557,0.004209358028928557,0.005612487371904743,0.0014031193429761858,0.003932628409557806,0.0028062386859523717,0.0028062386859523717,0.3507798357440464,-76120955.38798013,13191.216670513153
22,0.004209358028928557,0.004209358028928557,0.005612477371904743,0.0014031293429761858,0.003932628409557806,0.0028062386859523717,0.0028062386859523717,0.3507798357440464,-76120955.39189519,13806.773480653763
23,0.004209358028928557,0.004209358028928557,0.005612477371904743,0.0014031193429761858,0.003932638409557806,0.0028062386859523717,0.0028062386859523717,0.3507798357440464,-76120955.35318206,14418.554739236832
24,0.004209358028928557,0.004209358028928557,0.005612477371904743,0.0014031193429761858,0.003932628409557806,0.0028062486859523716,0.0028062386859523717,0.3507798357440464,-76120955.43175504,15005.631696939468
