n_eval,t_A,t_B,t_C,t_2,t_upper,N_AB,N_ABC,r,loglik,time
0,0.0028142265299789,0.0029670677524445,0.0058107311742702,0.0023794336080137,0.0039742667945954005,0.003999451013212,0.0025671556900351,0.9257302821122316,-76112909.41975452,2964.013813972473
1,0.002954937856477845,0.0029670677524445,0.0058107311742702,0.0023794336080137,0.0039742667945954005,0.003999451013212,0.0025671556900351,0.9257302821122316,-76112989.61259504,5863.907136678696
2,0.0028142265299789,0.003115421140066725,0.0058107311742702,0.0023794336080137,0.0039742667945954005,0.003999451013212,0.0025671556900351,0.9257302821122316,-76112994.12248689,8758.696657180786
3,0.0028142265299789,0.0029670677524445,0.006101267732983711,0.0023794336080137,0.0039742667945954005,0.003999451013212,0.0025671556900351,0.9257302821122316,-76113122.11139552,11746.443222999573
4,0.0028142265299789,0.0029670677524445,0.0058107311742702,0.0024984052884143852,0.0039742667945954005,0.003999451013212,0.0025671556900351,0.9257302821122316,-76112989.49909493,14670.880919456482
5,0.0028142265299789,0.0029670677524445,0.0058107311742702,0.0023794336080137,0.0041729801343251705,0.003999451013212,0.0025671556900351,0.9257302821122316,-76113003.222548,17640.28093647957
6,0.0028142265299789,0.0029670677524445,0.0058107311742702,0.0023794336080137,0.0039742667945954005,0.0041994235638726,0.0025671556900351,0.9257302821122316,-76112924.86439179,20611.091945886612
7,0.0028142265299789,0.0029670677524445,0.0058107311742702,0.0023794336080137,0.0039742667945954005,0.003999451013212,0.002695513474536855,0.9257302821122316,-76113218.15921178,23581.166419029236
8,0.0028142265299789,0.0029670677524445,0.0058107311742702,0.0023794336080137,0.0039742667945954005,0.003999451013212,0.0025671556900351,0.9720167962178432,-76112908.33297224,26502.3258728981
9,0.002849404361603636,0.0030041560993500555,0.005883365313948579,0.0024091765281138706,0.004023945129527843,0.004049444150877152,0.002438797905533345,0.9373019106386348,-76113120.38098097,29402.335490703583
10,0.00285819881950982,0.003013428186076445,0.005538353150476285,0.0024166122581389137,0.004036364713260953,0.004061942435293439,0.0025350662439096614,0.9401948177702354,-76113218.26164366,32328.960302829742
11,0.00282521960236163,0.002978657860852486,0.005960539087356854,0.0023887282705450036,0.003989791274261788,0.0040150738687323596,0.0025591333285037406,0.9293464160267326,-76112956.77171986,35337.72030687332
12,0.0028169747980745833,0.0029699652795464973,0.005775549012863486,0.002381757273646526,0.003978147914511997,0.004003356727092089,0.002693507884154015,0.9266343155908568,-76113197.77518983,38303.94183921814
13,0.002841296970721373,0.002995608394399166,0.005856411238677306,0.0024023217144970343,0.004012495825773881,0.004037922294930886,0.002502475400188512,0.9346350118766903,-76112955.3892129,41324.283284425735
14,0.002858920239884937,0.0030141887869407197,0.00585960316864364,0.0024172222203675295,0.003788991832576848,0.004062967685186963,0.0025489800271906128,0.9404321265583747,-76113097.18063805,44368.60609817505
15,0.0028253999574554094,0.002978848011068555,0.00582294917286356,0.0023888807611021573,0.00407698305888809,0.004015330181205741,0.0025626117743239784,0.9294057432237675,-76112927.19855824,47395.89580273628
16,0.0028617135967540642,0.002831692117068952,0.005862657668291981,0.002419584008639644,0.00401338423837979,0.004066937477185397,0.0025478440482628326,0.9413509918362585,-76112977.74638663,50419.57050061226
17,0.002697696205324174,0.00294620159584729,0.005875639291797425,0.00242962160879613,0.004023163599325887,0.004083809093178745,0.0025430161378197655,0.9452561692672651,-76112933.62108575,53415.713819503784
18,0.0028092749506594375,0.002940985056697987,0.00589186632117923,0.0022934540084908815,0.004035387800508508,0.00410489861317043,0.0025369812497659317,0.9501376410560233,-76112982.44787428,56411.828006505966
19,0.002810512845489303,0.0029475057306346157,0.005871582534451973,0.0023446918284717577,0.004020107549030231,0.004078536713180823,0.002544524859833224,0.9440358013200754,-76112923.18442905,59437.83729529381
20,0.0027489876960680834,0.0031053140954649507,0.005842171043697449,0.002353552243223652,0.003997951184386729,0.004040311958195892,0.0025554630944307974,0.9351881337029507,-76113000.06566133,62401.87288618088
21,0.0028335321215825693,0.0029000976116679514,0.005857536012143348,0.002403076067285646,0.004009525974881524,0.00406028109743802,0.002549748809804824,0.9398102773029315,-76112920.32560407,65314.17718529701
22,0.0027875598202657527,0.0029387082893852835,0.005718538855829199,0.002387994930503453,0.004026477823659665,0.004103477373825343,0.00254182768451516,0.9498086748315262,-76112956.99078272,68285.01213526726
23,0.0028158046568376605,0.0029686704679856854,0.005900039029474941,0.002388544935534616,0.003998962911611257,0.004037174745005605,0.0025548069175065956,0.9344619807279311,-76112917.43398568,71292.91216039658
24,0.0027651093734350806,0.002915023274235233,0.005833573652208157,0.0023709572918108176,0.004000390043606916,0.004080442060145498,0.00261156849215991,0.9444768211943789,-76112942.56361502,74355.98963403702
25,0.0027841562727566535,0.0029351695542762166,0.005839283048825444,0.0023787983974823718,0.0040034164891486574,0.004069812118841845,0.0025842952191670603,0.9420163688649568,-76112911.40094715,77401.36715364456
26,0.0029303251556904004,0.0029616720623943404,0.005805256538345042,0.0023309515946832817,0.003984785492510603,0.004031056018313415,0.0025813475248654804,0.9330457137032272,-76112959.59630512,80444.57397437096
27,0.002755853442915731,0.0029500692124840525,0.005858043603434329,0.002404954105267918,0.004013569072622066,0.004070620824462412,0.002552598984581194,0.9422035553762556,-76112907.8647567,83458.35797953606
28,0.0027852347749242447,0.0029218309475269504,0.005866720264921598,0.0023757107784186946,0.003915112536381896,0.004113357591100587,0.002559248690925571,0.9520955927848469,-76112948.8404547,86546.79635477066
29,0.002815358661822618,0.0029645937451831536,0.005833891945878069,0.0023855882654312916,0.004036515428261542,0.004039837033679453,0.0025617710034743766,0.9350782056140373,-76112907.10756049,89576.45818328857
30,0.002796691235361684,0.002932992704335669,0.005884728456416926,0.0023866965958615504,0.00403339095909112,0.0038893675758854395,0.002553358603574269,0.9581080347718339,-76112938.93834202,92659.24973464012
