tree,len
"(n3:28377.83550458824174711,(n2:6855.17517359299381496,(n0:5953.52422254037810490,n1:5953.52422254037810490):901.65095105261480057):21522.66033099524793215);",18382.0
"(n3:26029.99501964534283616,(n2:6855.17517359299381496,(n0:5953.52422254037810490,n1:5953.52422254037810490):901.65095105261480057):19174.81984605234902119);",27235.0
"(n3:25232.88688158250079141,(n2:6855.17517359299381496,(n0:5953.52422254037810490,n1:5953.52422254037810490):901.65095105261480057):18377.71170798950697645);",25970.0
"(n3:25232.88688158250079141,(n2:8044.79120597165001527,(n0:5953.52422254037810490,n1:5953.52422254037810490):2091.26698343127100088):17188.09567561084986664);",10672.0
"(n3:25232.88688158250079141,(n1:8044.79120597164910578,(n0:6038.88914365536038531,n2:6038.88914365536038531):2005.90206231628962996):17188.09567561084986664);",7493.0
"(n3:26029.99501964534283616,(n1:8044.79120597164910578,(n0:6038.88914365536038531,n2:6038.88914365536038531):2005.90206231628962996):17985.20381367369191139);",5560.0
"(n3:26029.99501964534283616,(n1:8044.79120597164910578,(n0:5784.58378840340628813,n2:5784.58378840340719762):2260.20741756824281765):17985.20381367369191139);",10097.0
"(n3:26029.99501964534283616,(n1:8044.79120597164910578,(n0:5297.36502300633219420,n2:5297.36502300633310369):2747.42618296531691158):17985.20381367369191139);",9207.0
"(n3:26029.99501964534283616,(n1:6038.88914365536038531,(n0:5297.36502300633219420,n2:5297.36502300633310369):741.52412064902728162):19991.10587598998245085);",4384.0
"(n3:26029.99501964534283616,(n1:8044.79120597164910578,(n0:5297.36502300633219420,n2:5297.36502300633310369):2747.42618296531691158):17985.20381367369191139);",1052.0
"(n3:25829.59657311578484951,(n1:8044.79120597164910578,(n0:5297.36502300633219420,n2:5297.36502300633310369):2747.42618296531691158):17784.80536714413392474);",27525.0
"(n3:26029.99501964534283616,(n1:8044.79120597164910578,(n0:5297.36502300633219420,n2:5297.36502300633310369):2747.42618296531691158):17985.20381367369191139);",15.0
"(n3:26029.99501964534283616,(n1:5895.47305699133721646,(n0:5297.36502300633219420,n2:5297.36502300633310369):598.10803398500411276):20134.52196265400561970);",3135.0
