idx,hidden
0,"(0, 0, 0)"
1,"(0, 0, 1)"
2,"(0, 0, 2)"
3,"(0, 0, 3)"
4,"(0, 0, 4)"
5,"(0, 1, 0)"
6,"(0, 1, 1)"
7,"(0, 1, 2)"
8,"(0, 1, 3)"
9,"(0, 1, 4)"
10,"(0, 2, 0)"
11,"(0, 2, 1)"
12,"(0, 2, 2)"
13,"(0, 2, 3)"
14,"(0, 2, 4)"
15,"(0, 3, 0)"
16,"(0, 3, 1)"
17,"(0, 3, 2)"
18,"(0, 3, 3)"
19,"(0, 3, 4)"
20,"(0, 4, 0)"
21,"(0, 4, 1)"
22,"(0, 4, 2)"
23,"(0, 4, 3)"
24,"(0, 4, 4)"
25,"(1, 0, 0)"
26,"(1, 0, 1)"
27,"(1, 0, 2)"
28,"(1, 0, 3)"
29,"(1, 0, 4)"
30,"(1, 1, 1)"
31,"(1, 1, 2)"
32,"(1, 1, 3)"
33,"(1, 1, 4)"
34,"(1, 2, 2)"
35,"(1, 2, 3)"
36,"(1, 2, 4)"
37,"(1, 3, 3)"
38,"(1, 3, 4)"
39,"(1, 4, 4)"
40,"(2, 0, 0)"
41,"(2, 0, 1)"
42,"(2, 0, 2)"
43,"(2, 0, 3)"
44,"(2, 0, 4)"
45,"(2, 1, 1)"
46,"(2, 1, 2)"
47,"(2, 1, 3)"
48,"(2, 1, 4)"
49,"(2, 2, 2)"
50,"(2, 2, 3)"
51,"(2, 2, 4)"
52,"(2, 3, 3)"
53,"(2, 3, 4)"
54,"(2, 4, 4)"
55,"(3, 0, 0)"
56,"(3, 0, 1)"
57,"(3, 0, 2)"
58,"(3, 0, 3)"
59,"(3, 0, 4)"
60,"(3, 1, 1)"
61,"(3, 1, 2)"
62,"(3, 1, 3)"
63,"(3, 1, 4)"
64,"(3, 2, 2)"
65,"(3, 2, 3)"
66,"(3, 2, 4)"
67,"(3, 3, 3)"
68,"(3, 3, 4)"
69,"(3, 4, 4)"
