nsim,int_2,suma,Type
10,6,0.010301944628568573,Posterior max
10,5,0.03476693017094283,Posterior max
10,4,0.06389174359241878,Posterior max
10,3,0.10333428361578895,Posterior max
10,2,0.15867069540535259,Posterior max
10,1,0.2466471270227129,Posterior max
10,0,0.34214391966812446,Posterior max
11,6,0.022269227083348914,Posterior max
11,5,0.06649985291247226,Posterior max
11,4,0.08428977869990939,Posterior max
11,3,0.11265891400676287,Posterior max
11,2,0.15606947072580385,Posterior max
11,1,0.2173584500021173,Posterior max
11,0,0.2535552777045755,Posterior max
12,6,0.01707810534721787,Posterior max
12,5,0.05180205418648378,Posterior max
12,4,0.081656928508474,Posterior max
12,3,0.11585960128354222,Posterior max
12,2,0.16294921471796375,Posterior max
12,1,0.2272248220647839,Posterior max
12,0,0.2945637388232496,Posterior max
13,6,0.02334904789933103,Posterior max
13,5,0.07102357057341127,Posterior max
13,4,0.10397210357480781,Posterior max
13,3,0.12145925024711357,Posterior max
13,2,0.16041421759283575,Posterior max
13,1,0.2061701206105238,Posterior max
13,0,0.24132608689578053,Posterior max
14,6,0.012085785375742206,Posterior max
14,5,0.03920584169996751,Posterior max
14,4,0.07089230882361924,Posterior max
14,3,0.11193381258683342,Posterior max
14,2,0.16058000352550167,Posterior max
14,1,0.24237995476441354,Posterior max
14,0,0.3266823856021459,Posterior max
15,6,0.009198959445771152,Posterior max
15,5,0.030033080976784702,Posterior max
15,4,0.05907645201777286,Posterior max
15,3,0.09974407222063775,Posterior max
15,2,0.15314437442181433,Posterior max
15,1,0.25395879460935367,Posterior max
15,0,0.33161725161634087,Posterior max
