gr,name,start,end,topology,int_1,int_2
1,14,0,543,0,2,0
2,92,544,766,3,0,1
3,98,767,3609,3,1,1
4,43,3610,5996,1,1,2
5,37,5997,7717,1,0,2
6,30,7718,7866,0,4,2
7,32,7867,8688,0,4,4
8,28,8689,9872,0,4,0
9,31,9873,9877,0,4,3
10,32,9878,9878,0,4,4
11,31,9879,10039,0,4,3
12,28,10040,10174,0,4,0
13,21,10175,11180,0,3,0
14,28,11181,12694,0,4,0
15,67,12695,13462,2,0,4
16,91,13463,14146,3,0,0
17,95,14147,16346,3,0,4
18,94,16347,16486,3,0,3
19,91,16487,16570,3,0,0
20,0,16571,16913,0,0,0
21,95,16914,17318,3,0,4
22,73,17319,18949,2,1,4
23,72,18950,19533,2,1,3
24,36,19534,20469,1,0,1
25,38,20470,21054,1,0,3
26,39,21055,22123,1,0,4
27,40,22124,22583,1,0,5
28,37,22584,23474,1,0,2
29,65,23475,23693,2,0,2
30,71,23694,24254,2,1,2
31,65,24255,24780,2,0,2
32,28,24781,25121,0,4,0
33,29,25122,25317,0,4,1
34,28,25318,25989,0,4,0
35,29,25990,26005,0,4,1
36,71,26006,27077,2,1,2
37,36,27078,27280,1,0,1
38,71,27281,27813,2,1,2
39,65,27814,27963,2,0,2
40,67,27964,30701,2,0,4
41,106,30702,30706,3,2,4
42,11,30707,30858,0,1,4
43,7,30859,30864,0,1,0
44,11,30865,31362,0,1,4
45,7,31363,33742,0,1,0
46,21,33743,35434,0,3,0
47,92,35435,35890,3,0,1
48,63,35891,36688,2,0,0
49,0,36689,37041,0,0,0
50,63,37042,38747,2,0,0
51,7,38748,38797,0,1,0
52,91,38798,39394,3,0,0
53,63,39395,39801,2,0,0
54,0,39802,40331,0,0,0
55,63,40332,40365,2,0,0
56,14,40366,41934,0,2,0
57,20,41935,42424,0,2,6
58,97,42425,42916,3,0,6
59,63,42917,45811,2,0,0
60,69,45812,46950,2,0,6
61,35,46951,46960,1,0,0
62,41,46961,47477,1,0,6
63,13,47478,47908,0,1,6
64,8,47909,47992,0,1,1
65,13,47993,48798,0,1,6
66,20,48799,49239,0,2,6
67,112,49240,49680,3,3,6
68,111,49681,50880,3,3,5
69,58,50881,51184,1,4,5
70,55,51185,51266,1,3,5
71,56,51267,51352,1,3,6
72,97,51353,52079,3,0,6
73,69,52080,52171,2,0,6
74,0,52172,53140,0,0,0
75,69,53141,54331,2,0,6
76,68,54332,54477,2,0,5
77,88,54478,54699,2,5,5
78,58,54700,55773,1,4,5
79,83,55774,56187,2,3,5
80,82,56188,56302,2,3,4
81,95,56303,57649,3,0,4
82,96,57650,57976,3,0,5
83,94,57977,58039,3,0,3
84,96,58040,58167,3,0,5
85,0,58168,58430,0,0,0
86,68,58431,60319,2,0,5
87,28,60320,60903,0,4,0
88,0,60904,61131,0,0,0
89,3,61132,61681,0,0,3
90,5,61682,62808,0,0,5
91,3,62809,64657,0,0,3
92,5,64658,65138,0,0,5
93,6,65139,65454,0,0,6
94,20,65455,65546,0,2,6
95,108,65547,66017,3,2,6
96,16,66018,66505,0,2,2
97,14,66506,67013,0,2,0
98,0,67014,67875,0,0,0
99,28,67876,68175,0,4,0
100,35,68176,68197,1,0,0
101,14,68198,68862,0,2,0
102,35,68863,68983,1,0,0
103,63,68984,69906,2,0,0
104,91,69907,72213,3,0,0
105,21,72214,72427,0,3,0
106,35,72428,73110,1,0,0
107,63,73111,73531,2,0,0
108,39,73532,73695,1,0,4
109,41,73696,73780,1,0,6
110,20,73781,74236,0,2,6
111,41,74237,74920,1,0,6
112,63,74921,75388,2,0,0
113,41,75389,75536,1,0,6
114,63,75537,77407,2,0,0
115,35,77408,79239,1,0,0
116,91,79240,79323,3,0,0
117,0,79324,80735,0,0,0
118,91,80736,80802,3,0,0
119,0,80803,83346,0,0,0
120,35,83347,83732,1,0,0
121,91,83733,83745,3,0,0
122,14,83746,84764,0,2,0
123,35,84765,86229,1,0,0
124,91,86230,86328,3,0,0
125,28,86329,90220,0,4,0
126,91,90221,91950,3,0,0
127,63,91951,94600,2,0,0
128,91,94601,96369,3,0,0
129,35,96370,98378,1,0,0
130,28,98379,99748,0,4,0
131,63,99749,99834,2,0,0
132,91,99835,100386,3,0,0
133,35,100387,100828,1,0,0
134,7,100829,101310,0,1,0
135,35,101311,103062,1,0,0
136,7,103063,103333,0,1,0
137,35,103334,104130,1,0,0
138,7,104131,104592,0,1,0
139,35,104593,104725,1,0,0
140,0,104726,104772,0,0,0
141,35,104773,105114,1,0,0
142,7,105115,105331,0,1,0
143,35,105332,107084,1,0,0
144,91,107085,107939,3,0,0
145,7,107940,108025,0,1,0
146,91,108026,108143,3,0,0
147,7,108144,109110,0,1,0
148,0,109111,109522,0,0,0
149,28,109523,109832,0,4,0
150,63,109833,110553,2,0,0
151,91,110554,110572,3,0,0
152,28,110573,110627,0,4,0
153,0,110628,110882,0,0,0
154,63,110883,111240,2,0,0
155,0,111241,112402,0,0,0
156,63,112403,115151,2,0,0
157,14,115152,116380,0,2,0
158,91,116381,117471,3,0,0
159,21,117472,119503,0,3,0
160,7,119504,121110,0,1,0
161,63,121111,122216,2,0,0
162,91,122217,122492,3,0,0
163,7,122493,124238,0,1,0
164,21,124239,124589,0,3,0
165,35,124590,125023,1,0,0
166,63,125024,128347,2,0,0
167,65,128348,128523,2,0,2
168,21,128524,128848,0,3,0
169,65,128849,128889,2,0,2
170,23,128890,129878,0,3,2
171,37,129879,132400,1,0,2
172,93,132401,133830,3,0,2
173,37,133831,134025,1,0,2
174,39,134026,135655,1,0,4
175,41,135656,136384,1,0,6
176,38,136385,137941,1,0,3
177,24,137942,138073,0,3,3
178,27,138074,138551,0,3,6
179,23,138552,139021,0,3,2
180,93,139022,139062,3,0,2
181,97,139063,140268,3,0,6
182,93,140269,142671,3,0,2
183,65,142672,144281,2,0,2
184,0,144282,144455,0,0,0
185,2,144456,145138,0,0,2
186,6,145139,145245,0,0,6
187,5,145246,147605,0,0,5
188,3,147606,147685,0,0,3
189,5,147686,149765,0,0,5
190,6,149766,150057,0,0,6
191,69,150058,151775,2,0,6
192,21,151776,153048,0,3,0
193,91,153049,153425,3,0,0
194,92,153426,153687,3,0,1
195,64,153688,154206,2,0,1
196,21,154207,155212,0,3,0
197,64,155213,156438,2,0,1
198,28,156439,157393,0,4,0
199,14,157394,158924,0,2,0
200,35,158925,161122,1,0,0
201,94,161123,161762,3,0,3
202,91,161763,163283,3,0,0
203,63,163284,164751,2,0,0
204,38,164752,164760,1,0,3
205,63,164761,164857,2,0,0
206,14,164858,166484,0,2,0
207,91,166485,166973,3,0,0
208,63,166974,168872,2,0,0
209,91,168873,169270,3,0,0
210,35,169271,169586,1,0,0
211,38,169587,170502,1,0,3
212,39,170503,170509,1,0,4
213,38,170510,171018,1,0,3
214,40,171019,172353,1,0,5
215,41,172354,172731,1,0,6
216,27,172732,174543,0,3,6
217,21,174544,177361,0,3,0
218,27,177362,178354,0,3,6
219,25,178355,179246,0,3,4
220,21,179247,179331,0,3,0
221,25,179332,179435,0,3,4
222,39,179436,180899,1,0,4
223,73,180900,182304,2,1,4
224,22,182305,183534,0,3,1
225,25,183535,183832,0,3,4
226,22,183833,184807,0,3,1
227,70,184808,184912,2,1,1
228,73,184913,185096,2,1,4
229,67,185097,186825,2,0,4
230,68,186826,186851,2,0,5
231,96,186852,187657,3,0,5
232,92,187658,188288,3,0,1
233,64,188289,190772,2,0,1
234,92,190773,190810,3,0,1
235,63,190811,192391,2,0,0
236,36,192392,192970,1,0,1
237,92,192971,195012,3,0,1
238,1,195013,195686,0,0,1
239,3,195687,195906,0,0,3
240,0,195907,197393,0,0,0
241,3,197394,197626,0,0,3
242,1,197627,199863,0,0,1
243,42,199864,199978,1,1,1
244,92,199979,199999,3,0,1
