nsim,int_2,suma,Type
10,6,0.403695,Posterior max
10,5,0.162565,Posterior max
10,4,0.07751,Posterior max
10,3,0.040885,Posterior max
10,2,0.063765,Posterior max
10,1,0.097695,Posterior max
10,0,0.153885,Posterior max
11,6,0.357495,Posterior max
11,5,0.133705,Posterior max
11,4,0.144945,Posterior max
11,3,0.08295,Posterior max
11,2,0.03562,Posterior max
11,1,0.09552,Posterior max
11,0,0.149765,Posterior max
12,6,0.311,Posterior max
12,5,0.245945,Posterior max
12,4,0.155185,Posterior max
12,3,0.088465,Posterior max
12,2,0.08358,Posterior max
12,1,0.027905,Posterior max
12,0,0.08792,Posterior max
13,6,0.368115,Posterior max
13,5,0.11998,Posterior max
13,4,0.194035,Posterior max
13,3,0.095915,Posterior max
13,2,0.05239,Posterior max
13,1,0.055145,Posterior max
13,0,0.11442,Posterior max
14,6,0.15351,Posterior max
14,5,0.26646,Posterior max
14,4,0.118665,Posterior max
14,3,0.21461,Posterior max
14,2,0.146255,Posterior max
14,1,0.03617,Posterior max
14,0,0.06433,Posterior max
15,6,0.38117,Posterior max
15,5,0.185025,Posterior max
15,4,0.091775,Posterior max
15,3,0.073325,Posterior max
15,2,0.10304,Posterior max
15,1,0.09131,Posterior max
15,0,0.074355,Posterior max
16,6,0.551865,Posterior max
16,5,0.113475,Posterior max
16,4,0.097405,Posterior max
16,3,0.033255,Posterior max
16,2,0.01638,Posterior max
16,1,0.04907,Posterior max
16,0,0.13855,Posterior max
17,6,0.3996,Posterior max
17,5,0.125155,Posterior max
17,4,0.11432,Posterior max
17,3,0.090785,Posterior max
17,2,0.077835,Posterior max
17,1,0.0902,Posterior max
17,0,0.102105,Posterior max
18,6,0.212425,Posterior max
18,5,0.17488,Posterior max
18,4,0.20885,Posterior max
18,3,0.198425,Posterior max
18,2,0.08524,Posterior max
18,1,0.03228,Posterior max
18,0,0.0879,Posterior max
19,6,0.23136,Posterior max
19,5,0.316925,Posterior max
19,4,0.14786,Posterior max
19,3,0.072645,Posterior max
19,2,0.05786,Posterior max
19,1,0.064355,Posterior max
19,0,0.108995,Posterior max
20,6,0.357995,Posterior max
20,5,0.191235,Posterior max
20,4,0.168395,Posterior max
20,3,0.12842,Posterior max
20,2,0.078575,Posterior max
20,1,0.041785,Posterior max
20,0,0.033595,Posterior max
21,6,0.35922,Posterior max
21,5,0.203505,Posterior max
21,4,0.163075,Posterior max
21,3,0.090775,Posterior max
21,2,0.07672,Posterior max
21,1,0.04242,Posterior max
21,0,0.064285,Posterior max
22,6,0.357665,Posterior max
22,5,0.16445,Posterior max
22,4,0.127735,Posterior max
22,3,0.09613,Posterior max
22,2,0.09722,Posterior max
22,1,0.071495,Posterior max
22,0,0.085305,Posterior max
23,6,0.2922,Posterior max
23,5,0.3209,Posterior max
23,4,0.085285,Posterior max
23,3,0.039415,Posterior max
23,2,0.06377,Posterior max
23,1,0.075825,Posterior max
23,0,0.122605,Posterior max
24,6,0.341685,Posterior max
24,5,0.228025,Posterior max
24,4,0.124125,Posterior max
24,3,0.098145,Posterior max
24,2,0.07148,Posterior max
24,1,0.031525,Posterior max
24,0,0.105015,Posterior max
25,6,0.32632,Posterior max
25,5,0.261155,Posterior max
25,4,0.207535,Posterior max
25,3,0.05349,Posterior max
25,2,0.0286,Posterior max
25,1,0.056975,Posterior max
25,0,0.065925,Posterior max
26,6,0.435695,Posterior max
26,5,0.170385,Posterior max
26,4,0.07948,Posterior max
26,3,0.080985,Posterior max
26,2,0.067705,Posterior max
26,1,0.06156,Posterior max
26,0,0.10419,Posterior max
27,6,0.40657,Posterior max
27,5,0.18695,Posterior max
27,4,0.128995,Posterior max
27,3,0.11152,Posterior max
27,2,0.07363,Posterior max
27,1,0.03121,Posterior max
27,0,0.061125,Posterior max
28,6,0.324965,Posterior max
28,5,0.229765,Posterior max
28,4,0.13414,Posterior max
28,3,0.135115,Posterior max
28,2,0.08993,Posterior max
28,1,0.038695,Posterior max
28,0,0.04739,Posterior max
29,6,0.34396,Posterior max
29,5,0.18821,Posterior max
29,4,0.11605,Posterior max
29,3,0.12662,Posterior max
29,2,0.09422,Posterior max
29,1,0.03743,Posterior max
29,0,0.09351,Posterior max
