nsim,int_2,suma,Type
10,6,0.09693,Empirical
10,5,0.05193,Empirical
10,4,0.1562,Empirical
10,3,0.139375,Empirical
10,2,0.265305,Empirical
10,1,0.111305,Empirical
10,0,0.17761,Empirical
11,6,0.056825,Empirical
11,5,0.18504,Empirical
11,4,0.11619,Empirical
11,3,0.091335,Empirical
11,2,0.160615,Empirical
11,1,0.22842,Empirical
11,0,0.16027,Empirical
12,6,0.154315,Empirical
12,5,0.17467,Empirical
12,4,0.041885,Empirical
12,3,0.180655,Empirical
12,2,0.17826,Empirical
12,1,0.175365,Empirical
12,0,0.09336,Empirical
13,6,0.05649,Empirical
13,5,0.084875,Empirical
13,4,0.19922,Empirical
13,3,0.1257,Empirical
13,2,0.15885,Empirical
13,1,0.194745,Empirical
13,0,0.17859,Empirical
14,6,0.179585,Empirical
14,5,0.107485,Empirical
14,4,0.2138,Empirical
14,3,0.155735,Empirical
14,2,0.111505,Empirical
14,1,0.126615,Empirical
14,0,0.104,Empirical
15,6,0.117715,Empirical
15,5,0.134745,Empirical
15,4,0.105005,Empirical
15,3,0.127015,Empirical
15,2,0.11538,Empirical
15,1,0.252265,Empirical
15,0,0.14656,Empirical
16,6,0.056835,Empirical
16,5,0.0858,Empirical
16,4,0.09556,Empirical
16,3,0.101225,Empirical
16,2,0.194785,Empirical
16,1,0.215545,Empirical
16,0,0.249025,Empirical
17,6,0.091385,Empirical
17,5,0.063385,Empirical
17,4,0.185075,Empirical
17,3,0.098485,Empirical
17,2,0.185865,Empirical
17,1,0.21989,Empirical
17,0,0.154625,Empirical
18,6,0.11018,Empirical
18,5,0.12889,Empirical
18,4,0.11568,Empirical
18,3,0.155435,Empirical
18,2,0.190745,Empirical
18,1,0.171485,Empirical
18,0,0.126095,Empirical
19,6,0.14924,Empirical
19,5,0.195075,Empirical
19,4,0.22362,Empirical
19,3,0.07918,Empirical
19,2,0.07671,Empirical
19,1,0.10741,Empirical
19,0,0.16726,Empirical
20,6,0.14499,Empirical
20,5,0.138025,Empirical
20,4,0.1397,Empirical
20,3,0.061355,Empirical
20,2,0.142865,Empirical
20,1,0.17336,Empirical
20,0,0.198205,Empirical
21,6,0.17188,Empirical
21,5,0.171205,Empirical
21,4,0.156805,Empirical
21,3,0.10999,Empirical
21,2,0.115905,Empirical
21,1,0.157445,Empirical
21,0,0.115305,Empirical
22,6,0.11704,Empirical
22,5,0.142025,Empirical
22,4,0.10697,Empirical
22,3,0.096485,Empirical
22,2,0.156535,Empirical
22,1,0.235875,Empirical
22,0,0.14372,Empirical
23,6,0.257505,Empirical
23,5,0.14408,Empirical
23,4,0.16247,Empirical
23,3,0.121345,Empirical
23,2,0.07771,Empirical
23,1,0.10908,Empirical
23,0,0.12623500000000001,Empirical
24,6,0.14768,Empirical
24,5,0.207705,Empirical
24,4,0.06864,Empirical
24,3,0.146825,Empirical
24,2,0.117425,Empirical
24,1,0.135775,Empirical
24,0,0.17455,Empirical
25,6,0.13086,Empirical
25,5,0.2383,Empirical
25,4,0.113905,Empirical
25,3,0.073575,Empirical
25,2,0.195065,Empirical
25,1,0.173395,Empirical
25,0,0.073515,Empirical
26,6,0.10841,Empirical
26,5,0.082035,Empirical
26,4,0.13067,Empirical
26,3,0.134895,Empirical
26,2,0.130985,Empirical
26,1,0.257285,Empirical
26,0,0.15429,Empirical
27,6,0.11162,Empirical
27,5,0.120265,Empirical
27,4,0.111445,Empirical
27,3,0.11788,Empirical
27,2,0.1615,Empirical
27,1,0.147515,Empirical
27,0,0.228405,Empirical
28,6,0.19296,Empirical
28,5,0.1631,Empirical
28,4,0.17491,Empirical
28,3,0.191785,Empirical
28,2,0.08614,Empirical
28,1,0.10305,Empirical
28,0,0.08662,Empirical
29,6,0.12013,Empirical
29,5,0.09896,Empirical
29,4,0.23366,Empirical
29,3,0.139435,Empirical
29,2,0.121065,Empirical
29,1,0.092975,Empirical
29,0,0.192385,Empirical
