gr,name,start,end,topology,int_1,int_2
1,15,0,89,0,2,1
2,14,90,661,0,2,0
3,21,662,1933,0,3,0
4,0,1934,4615,0,0,0
5,93,4616,4874,3,0,2
6,92,4875,4908,3,0,1
7,21,4909,5494,0,3,0
8,14,5495,5748,0,2,0
9,21,5749,6657,0,3,0
10,64,6658,7052,2,0,1
11,92,7053,7543,3,0,1
12,93,7544,7864,3,0,2
13,99,7865,7972,3,1,2
14,93,7973,9764,3,0,2
15,99,9765,9913,3,1,2
16,30,9914,10319,0,4,2
17,71,10320,10331,2,1,2
18,76,10332,10693,2,2,2
19,30,10694,10784,0,4,2
20,71,10785,12148,2,1,2
21,76,12149,12767,2,2,2
22,30,12768,13421,0,4,2
23,34,13422,13644,0,4,6
24,52,13645,14187,1,2,6
25,34,14188,14426,0,4,6
26,52,14427,16393,1,2,6
27,87,16394,17098,2,4,6
28,103,17099,17197,3,1,6
29,69,17198,17295,2,0,6
30,87,17296,18500,2,4,6
31,69,18501,18641,2,0,6
32,13,18642,19003,0,1,6
33,97,19004,19947,3,0,6
34,108,19948,21827,3,2,6
35,107,21828,22016,3,2,5
36,108,22017,22055,3,2,6
37,90,22056,22254,2,6,6
38,75,22255,22290,2,1,6
39,72,22291,22648,2,1,3
40,75,22649,22821,2,1,6
41,103,22822,23025,3,1,6
42,99,23026,23427,3,1,2
43,29,23428,23949,0,4,1
44,36,23950,26597,1,0,1
45,73,26598,27398,2,1,4
46,22,27399,28306,0,3,1
47,29,28307,30995,0,4,1
48,36,30996,31975,1,0,1
49,29,31976,32133,0,4,1
50,28,32134,33367,0,4,0
51,30,33368,34053,0,4,2
52,37,34054,35937,1,0,2
53,93,35938,36984,3,0,2
54,104,36985,37170,3,2,2
55,108,37171,37634,3,2,6
56,106,37635,37739,3,2,4
57,67,37740,37940,2,0,4
58,32,37941,38042,0,4,4
59,25,38043,38531,0,3,4
60,95,38532,39461,3,0,4
61,32,39462,40645,0,4,4
62,33,40646,40660,0,4,5
63,30,40661,41740,0,4,2
64,33,41741,43202,0,4,5
65,30,43203,43323,0,4,2
66,37,43324,46386,1,0,2
67,40,46387,46782,1,0,5
68,33,46783,47158,0,4,5
69,40,47159,47163,1,0,5
70,5,47164,47495,0,0,5
71,6,47496,47985,0,0,6
72,34,47986,48689,0,4,6
73,41,48690,48817,1,0,6
74,40,48818,49789,1,0,5
75,36,49790,50350,1,0,1
76,8,50351,50807,0,1,1
77,12,50808,51374,0,1,5
78,11,51375,51704,0,1,4
79,9,51705,51705,0,1,2
80,78,51706,51789,2,2,4
81,106,51790,52223,3,2,4
82,2,52224,53309,0,0,2
83,30,53310,53594,0,4,2
84,32,53595,54008,0,4,4
85,4,54009,56064,0,0,4
86,67,56065,56499,2,0,4
87,28,56500,57123,0,4,0
88,30,57124,57448,0,4,2
89,106,57449,58696,3,2,4
90,30,58697,58852,0,4,2
91,16,58853,58951,0,2,2
92,106,58952,59818,3,2,4
93,95,59819,60077,3,0,4
94,78,60078,60523,2,2,4
95,80,60524,62286,2,2,6
96,52,62287,62417,1,2,6
97,27,62418,62593,0,3,6
98,20,62594,65502,0,2,6
99,34,65503,66299,0,4,6
100,6,66300,66548,0,0,6
101,4,66549,66787,0,0,4
102,5,66788,67397,0,0,5
103,46,67398,67495,1,1,5
104,5,67496,68190,0,0,5
105,4,68191,68390,0,0,4
106,2,68391,68640,0,0,2
107,9,68641,69097,0,1,2
108,11,69098,69693,0,1,4
109,45,69694,69763,1,1,4
110,11,69764,70263,0,1,4
111,13,70264,70366,0,1,6
112,8,70367,72728,0,1,1
113,101,72729,73173,3,1,4
114,22,73174,73781,0,3,1
115,101,73782,73810,3,1,4
116,102,73811,75091,3,1,5
117,96,75092,76377,3,0,5
118,46,76378,77289,1,1,5
119,74,77290,77413,2,1,5
120,102,77414,78132,3,1,5
121,5,78133,78304,0,0,5
122,102,78305,78931,3,1,5
123,22,78932,79620,0,3,1
124,74,79621,79917,2,1,5
125,75,79918,81037,2,1,6
126,13,81038,81410,0,1,6
127,6,81411,81630,0,0,6
128,5,81631,82264,0,0,5
129,74,82265,82663,2,1,5
130,73,82664,83954,2,1,4
131,75,83955,84374,2,1,6
132,34,84375,84766,0,4,6
133,97,84767,85665,3,0,6
134,14,85666,85791,0,2,0
135,97,85792,86822,3,0,6
136,41,86823,87714,1,0,6
137,69,87715,89341,2,0,6
138,28,89342,89597,0,4,0
139,97,89598,89863,3,0,6
140,108,89864,90759,3,2,6
141,97,90760,90999,3,0,6
142,94,91000,91898,3,0,3
143,10,91899,92267,0,1,3
144,13,92268,92474,0,1,6
145,10,92475,92654,0,1,3
146,100,92655,92664,3,1,3
147,94,92665,95556,3,0,3
148,95,95557,95829,3,0,4
149,110,95830,96623,3,3,4
150,3,96624,97483,0,0,3
151,110,97484,98045,3,3,4
152,38,98046,98691,1,0,3
153,100,98692,99760,3,1,3
154,54,99761,99903,1,3,4
155,56,99904,99999,1,3,6
