gr,name,start,end,topology,int_1,int_2
1,9,0,227,0,1,2
2,11,228,1420,0,1,4
3,25,1421,1459,0,3,4
4,23,1460,1801,0,3,2
5,71,1802,2033,2,1,2
6,65,2034,2277,2,0,2
7,35,2278,2364,1,0,0
8,21,2365,3297,0,3,0
9,14,3298,4225,0,2,0
10,7,4226,4979,0,1,0
11,9,4980,5150,0,1,2
12,16,5151,5153,0,2,2
13,14,5154,6083,0,2,0
14,16,6084,7030,0,2,2
15,9,7031,7669,0,1,2
16,16,7670,7803,0,2,2
17,18,7804,8512,0,2,4
18,32,8513,8656,0,4,4
19,11,8657,9062,0,1,4
20,9,9063,10546,0,1,2
21,8,10547,11620,0,1,1
22,9,11621,13507,0,1,2
23,104,13508,14183,3,2,2
24,48,14184,16386,1,2,2
25,16,16387,19701,0,2,2
26,48,19702,20470,1,2,2
27,78,20471,22624,2,2,4
28,67,22625,22828,2,0,4
29,64,22829,22947,2,0,1
30,101,22948,23355,3,1,4
31,100,23356,23392,3,1,3
32,66,23393,23939,2,0,3
33,14,23940,27344,0,2,0
34,18,27345,30780,0,2,4
35,11,30781,32249,0,1,4
36,7,32250,32537,0,1,0
37,95,32538,32904,3,0,4
38,25,32905,33002,0,3,4
39,95,33003,35483,3,0,4
40,67,35484,35588,2,0,4
41,21,35589,36840,0,3,0
42,91,36841,38728,3,0,0
43,69,38729,41246,2,0,6
44,28,41247,43184,0,4,0
45,0,43185,44287,0,0,0
46,21,44288,44951,0,3,0
47,28,44952,44957,0,4,0
48,0,44958,45051,0,0,0
49,28,45052,46248,0,4,0
50,33,46249,46475,0,4,5
51,32,46476,46526,0,4,4
52,11,46527,47279,0,1,4
53,12,47280,47632,0,1,5
54,13,47633,48163,0,1,6
55,11,48164,50633,0,1,4
56,13,50634,51135,0,1,6
57,12,51136,51893,0,1,5
58,13,51894,55054,0,1,6
59,69,55055,55066,2,0,6
60,13,55067,55237,0,1,6
61,7,55238,55502,0,1,0
62,11,55503,55543,0,1,4
63,4,55544,57020,0,0,4
64,0,57021,58234,0,0,0
65,64,58235,59366,2,0,1
66,0,59367,59552,0,0,0
67,67,59553,60229,2,0,4
68,32,60230,61640,0,4,4
69,73,61641,61996,2,1,4
70,72,61997,62266,2,1,3
71,24,62267,62563,0,3,3
72,25,62564,63044,0,3,4
73,4,63045,64422,0,0,4
74,3,64423,64423,0,0,3
75,1,64424,65506,0,0,1
