gr,name,start,end,topology,int_1,int_2
1,5,0,3554,0,1,1
2,6,3555,4122,0,1,2
3,14,4123,4632,0,3,2
4,15,4633,6881,0,3,3
5,28,6882,7881,1,2,3
6,15,7882,11456,0,3,3
7,29,11457,11531,1,3,3
8,39,11532,12195,2,3,3
9,28,12196,14760,1,2,3
10,49,14761,15125,3,3,3
11,15,15126,15422,0,3,3
12,49,15423,15560,3,3,3
13,3,15561,17035,0,0,3
14,28,17036,17873,1,2,3
15,38,17874,17965,2,2,3
16,3,17966,18191,0,0,3
17,39,18192,18713,2,3,3
18,38,18714,21308,2,2,3
19,39,21309,21552,2,3,3
20,28,21553,23119,1,2,3
21,29,23120,23187,1,3,3
22,19,23188,24439,0,4,3
23,26,24440,26951,1,1,3
24,19,26952,27113,0,4,3
25,26,27114,27402,1,1,3
26,11,27403,27542,0,2,3
27,26,27543,27915,1,1,3
28,11,27916,28917,0,2,3
29,26,28918,29332,1,1,3
30,11,29333,30710,0,2,3
31,9,30711,31092,0,2,1
32,24,31093,33953,1,1,1
33,26,33954,34499,1,1,3
34,3,34500,34805,0,0,3
35,19,34806,34929,0,4,3
36,17,34930,36149,0,4,1
37,36,36150,36972,2,1,3
38,1,36973,37091,0,0,1
39,3,37092,37214,0,0,3
40,1,37215,37558,0,0,1
41,9,37559,38683,0,2,1
42,36,38684,39278,2,1,3
43,34,39279,39781,2,1,1
44,36,39782,40350,2,1,3
45,17,40351,40370,0,4,1
46,19,40371,40502,0,4,3
47,29,40503,40921,1,3,3
48,3,40922,41864,0,0,3
49,29,41865,43185,1,3,3
50,33,43186,44507,2,0,3
51,49,44508,45107,3,3,3
52,11,45108,45157,0,2,3
53,49,45158,45668,3,3,3
54,11,45669,46060,0,2,3
55,49,46061,46240,3,3,3
56,39,46241,46885,2,3,3
57,11,46886,47528,0,2,3
58,39,47529,47615,2,3,3
59,19,47616,48119,0,4,3
60,17,48120,48873,0,4,1
61,9,48874,48957,0,2,1
62,36,48958,50812,2,1,3
63,38,50813,51596,2,2,3
64,10,51597,52439,0,2,2
65,38,52440,52553,2,2,3
66,23,52554,55032,1,0,3
67,11,55033,58651,0,2,3
68,19,58652,58956,0,4,3
69,49,58957,59038,3,3,3
70,39,59039,59453,2,3,3
71,46,59454,59979,3,1,3
72,11,59980,61617,0,2,3
73,23,61618,63094,1,0,3
74,19,63095,64180,0,4,3
75,11,64181,65183,0,2,3
76,19,65184,66353,0,4,3
77,7,66354,68526,0,1,3
78,23,68527,69934,1,0,3
79,19,69935,71753,0,4,3
80,11,71754,74191,0,2,3
81,19,74192,74618,0,4,3
82,11,74619,75199,0,2,3
83,19,75200,76284,0,4,3
84,7,76285,76393,0,1,3
85,19,76394,78022,0,4,3
86,11,78023,80335,0,2,3
87,26,80336,81553,1,1,3
88,3,81554,82146,0,0,3
89,11,82147,83668,0,2,3
90,26,83669,83874,1,1,3
91,29,83875,85272,1,3,3
92,39,85273,86631,2,3,3
93,49,86632,88895,3,3,3
94,39,88896,88906,2,3,3
95,26,88907,90966,1,1,3
96,49,90967,91074,3,3,3
97,26,91075,91128,1,1,3
98,11,91129,91951,0,2,3
99,8,91952,92278,0,2,0
100,33,92279,92741,2,0,3
101,15,92742,92766,0,3,3
102,43,92767,92890,3,0,3
103,29,92891,93680,1,3,3
104,39,93681,93789,2,3,3
105,3,93790,94796,0,0,3
106,49,94797,94846,3,3,3
107,15,94847,95061,0,3,3
108,49,95062,97703,3,3,3
109,29,97704,99053,1,3,3
110,49,99054,99999,3,3,3
