gr,name,start,end,topology,int_1,int_2
1,77,0,3979,2,2,3
2,53,3980,4894,1,3,3
3,49,4895,5446,1,2,3
4,44,5447,5495,1,1,3
5,49,5496,5498,1,2,3
6,44,5499,6653,1,1,3
7,49,6654,7389,1,2,3
8,44,7390,8141,1,1,3
9,42,8142,9078,1,1,1
10,72,9079,10727,2,1,3
11,73,10728,10792,2,1,4
12,67,10793,10996,2,0,4
13,64,10997,11695,2,0,1
14,67,11696,11841,2,0,4
15,54,11842,12212,1,3,4
16,56,12213,12484,1,3,6
17,54,12485,13311,1,3,4
18,113,13312,13344,3,4,4
19,45,13345,13556,1,1,4
20,113,13557,13566,3,4,4
21,54,13567,13988,1,3,4
22,95,13989,15222,3,0,4
23,94,15223,16056,3,0,3
24,95,16057,18510,3,0,4
25,97,18511,19451,3,0,6
26,96,19452,19469,3,0,5
27,92,19470,19759,3,0,1
28,95,19760,19956,3,0,4
29,21,19957,20961,0,3,0
30,67,20962,21529,2,0,4
31,21,21530,23986,0,3,0
32,64,23987,24457,2,0,1
33,42,24458,27038,1,1,1
34,73,27039,27486,2,1,4
35,92,27487,28731,3,0,1
36,93,28732,34529,3,0,2
37,96,34530,35154,3,0,5
38,40,35155,35836,1,0,5
39,41,35837,35857,1,0,6
40,40,35858,36419,1,0,5
41,41,36420,39442,1,0,6
42,108,39443,40379,3,2,6
43,65,40380,40807,2,0,2
44,107,40808,40816,3,2,5
45,108,40817,41280,3,2,6
46,75,41281,41602,2,1,6
47,1,41603,43697,0,0,1
48,75,43698,44494,2,1,6
49,72,44495,45676,2,1,3
50,112,45677,46887,3,3,6
51,72,46888,47850,2,1,3
52,42,47851,47941,1,1,1
53,43,47942,47983,1,1,2
54,2,47984,48806,0,0,2
55,93,48807,49333,3,0,2
56,2,49334,49379,0,0,2
57,0,49380,50072,0,0,0
58,2,50073,51230,0,0,2
59,1,51231,51373,0,0,1
60,92,51374,51404,3,0,1
61,91,51405,52625,3,0,0
62,7,52626,52738,0,1,0
63,14,52739,53109,0,2,0
64,0,53110,53388,0,0,0
65,2,53389,55111,0,0,2
66,16,55112,55486,0,2,2
67,37,55487,57790,1,0,2
68,9,57791,57922,0,1,2
69,2,57923,58961,0,0,2
70,5,58962,59368,0,0,5
71,40,59369,60682,1,0,5
72,96,60683,61010,3,0,5
73,40,61011,61656,1,0,5
74,36,61657,62788,1,0,1
75,91,62789,66105,3,0,0
76,36,66106,67322,1,0,1
77,41,67323,67525,1,0,6
78,40,67526,67527,1,0,5
79,36,67528,67657,1,0,1
80,40,67658,67897,1,0,5
81,46,67898,68847,1,1,5
82,64,68848,68887,2,0,1
83,36,68888,69040,1,0,1
84,91,69041,73323,3,0,0
85,21,73324,73922,0,3,0
86,91,73923,74844,3,0,0
87,21,74845,74962,0,3,0
88,63,74963,75264,2,0,0
89,68,75265,75764,2,0,5
90,74,75765,75931,2,1,5
