start,end,name
0,103,43
104,706,47
707,728,13
729,785,13
786,1045,13
1046,2528,13
2529,2974,8
2975,3039,71
3040,3759,71
3760,4220,71
4221,5328,52
5329,6011,13
6012,6048,13
6049,6474,27
6475,6723,27
6724,6802,47
6803,6819,52
6820,6934,52
6935,7781,112
7782,7877,117
7878,8097,117
8098,8680,26
8681,8933,117
8934,9117,117
9118,9623,117
9624,10375,55
10376,10814,46
10815,11279,47
11280,11383,47
11384,11393,89
11394,11410,13
11411,12316,13
12317,12335,13
12336,12700,13
12701,12833,13
12834,13458,13
13459,13609,115
13610,13808,115
13809,14182,13
14183,14507,12
14508,14647,5
14648,16392,12
16393,16441,13
16442,16493,8
16494,17377,8
17378,17609,12
17610,18039,9
18040,18083,12
18084,18152,12
18153,18460,12
18461,19263,12
19264,19683,10
19684,19684,82
19685,19725,39
19726,19882,39
19883,20167,11
20168,20340,11
20341,21216,11
21217,21269,39
21270,21365,37
21366,21382,37
21383,21405,37
21406,21662,43
21663,22707,45
22708,24337,50
24338,25078,101
25079,25467,103
25468,25629,103
25630,25712,108
25713,25904,30
25905,26106,29
26107,26324,34
26325,26427,41
26428,26554,41
26555,26991,41
26992,27169,40
27170,27280,33
27281,27311,12
27312,27463,33
27464,27994,28
27995,28345,28
28346,28665,7
28666,29493,28
29494,30005,28
30006,30519,28
30520,30574,33
30575,30688,30
30689,30852,37
30853,31106,36
31107,32001,29
32002,32126,30
32127,32265,30
32266,32655,28
32656,32711,28
32712,32739,21
32740,32794,28
32795,33195,28
33196,33353,91
33354,33761,91
33762,34035,37
34036,34510,35
34511,34867,28
34868,35052,35
35053,36024,36
36025,36921,42
36922,37256,43
37257,37680,93
37681,39046,93
39047,39108,93
39109,39349,93
39350,39605,37
39606,39922,37
39923,40195,37
40196,40298,38
40299,41252,38
41253,41976,36
41977,42081,38
42082,42832,17
42833,43145,17
43146,43303,15
43304,43304,17
43305,43682,18
43683,44162,14
44163,44244,14
44245,45094,14
45095,45771,14
45772,45819,18
45820,46295,18
46296,46360,101
46361,47068,18
47069,47651,18
47652,47972,101
47973,48035,103
48036,48097,103
48098,48142,103
48143,48615,34
48616,48956,52
48957,49323,52
49324,49358,27
49359,49592,21
49593,49688,21
49689,50480,69
50481,51223,69
51224,51382,67
51383,51615,67
51616,51783,21
51784,51867,95
51868,51880,45
51881,51928,45
51929,52203,45
52204,52306,45
52307,52403,45
52404,52514,45
52515,53742,78
53743,53870,80
53871,54107,80
54108,54438,80
54439,54738,80
54739,55626,80
55627,55983,80
55984,56283,75
56284,56408,22
56409,57963,99
57964,57998,37
57999,58070,37
58071,58339,37
58340,58418,37
58419,58753,37
58754,58762,37
58763,58910,41
58911,59001,41
59002,59268,41
59269,59550,27
59551,59761,27
59762,59777,27
59778,59836,27
59837,59991,21
59992,59997,21
59998,60082,21
60083,60206,69
60207,60260,69
60261,60290,27
60291,60734,69
60735,61058,69
61059,61060,69
61061,61083,69
61084,61161,80
61162,61469,80
61470,62118,79
62119,62174,68
62175,62180,69
62181,62289,69
62290,62306,69
62307,62681,69
62682,63048,69
63049,63369,69
63370,63610,69
63611,63629,69
63630,63763,21
63764,64041,69
64042,64105,80
64106,64196,80
64197,64808,80
64809,65079,77
65080,65310,77
65311,65338,23
65339,65363,23
65364,65491,23
65492,65521,23
65522,65616,80
65617,65831,84
65832,66364,69
66365,66483,69
66484,66726,84
66727,66740,84
66741,66945,24
66946,67887,27
67888,69049,27
69050,69412,27
69413,69574,27
69575,69873,27
69874,69882,59
69883,70692,59
70693,71083,87
71084,71178,87
71179,71693,95
71694,72011,95
72012,72278,95
72279,72283,95
72284,72355,95
72356,72599,59
72600,72838,59
72839,72852,59
72853,72949,59
72950,73349,59
73350,73415,59
73416,73675,59
73676,73890,84
73891,73968,84
73969,74159,84
74160,74295,84
74296,74667,80
74668,75170,23
75171,75869,23
75870,75922,30
75923,76135,29
76136,76305,22
76306,76455,27
76456,76641,26
76642,76703,26
76704,78528,12
78529,79816,12
79817,79872,12
79873,80212,12
80213,80365,46
80366,80482,51
80483,81106,49
